problem,iteration,input_tokens,output_tokens,reasoning_tokens,verilog_file,model_name,finish_reason,system_fingerprint,run_id
Prob144_conwaylife,0,711,582,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_sonnet-4.5\test\Prob144_conwaylife\Prob144_conwaylife_gen_0.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571844-K3F3XmATUPwG5EN2HvzS
Prob144_conwaylife,1,711,764,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_sonnet-4.5\test\Prob144_conwaylife\Prob144_conwaylife_gen_1.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571853-HGeOtYGfLekDnm4Sm636
Prob144_conwaylife,3,711,582,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_sonnet-4.5\test\Prob144_conwaylife\Prob144_conwaylife_gen_3.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571873-eGN1aOGQ6u3fMePsq3Gn
Prob144_conwaylife,2,711,627,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_sonnet-4.5\test\Prob144_conwaylife\Prob144_conwaylife_gen_2.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571863-vYJs5l04PWRKGDeHhLjp
Prob144_conwaylife,4,711,669,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_sonnet-4.5\test\Prob144_conwaylife\Prob144_conwaylife_gen_4.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571881-bIfhcjyUyjXf5Vp7cckF
Prob144_conwaylife,5,711,694,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_sonnet-4.5\test\Prob144_conwaylife\Prob144_conwaylife_gen_5.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571891-ZMXOK6BFSSsWkoWxpHg8
Prob144_conwaylife,7,711,542,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_sonnet-4.5\test\Prob144_conwaylife\Prob144_conwaylife_gen_7.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571912-S7bMFABzclthfWJhS8Yn
Prob144_conwaylife,6,711,664,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_sonnet-4.5\test\Prob144_conwaylife\Prob144_conwaylife_gen_6.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571902-J5jOr0ShJez9hiPFfXSt
Prob144_conwaylife,8,711,612,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_sonnet-4.5\test\Prob144_conwaylife\Prob144_conwaylife_gen_8.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571920-SkrMUjrKSS2486HdlY5h
Prob144_conwaylife,9,711,582,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_sonnet-4.5\test\Prob144_conwaylife\Prob144_conwaylife_gen_9.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571930-VEzbYZ99rtgs7bkBE3BH
