task_id,source,iteration,input_tokens,output_tokens,reasoning_tokens,verilog_file,model_name,finish_reason,system_fingerprint,run_id
3735,aapp_competition_test,0,519,558,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3735\3735_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675532-Zm77rrbvKjgoqa0WK31T
115,human_eval_test,0,399,768,0,D:\PythonProjects\llm_eval\test\human_eval_test\115\115_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675532-3s77waMWpJWALz2QhQwq
79,human_eval_test,0,321,56,0,D:\PythonProjects\llm_eval\test\human_eval_test\79\79_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675545-9HRmZ4pLTtqdRgmBNMYl
142,mbpp_test,0,421,236,0,D:\PythonProjects\llm_eval\test\mbpp_test\142\142_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675542-Nl6tuLY0aPZOj63xQk3T
43,human_eval_test,0,523,722,0,D:\PythonProjects\llm_eval\test\human_eval_test\43\43_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675532-onP4mEyS3wgtg1QGpVCe
782,mbpp_train,0,377,276,0,D:\PythonProjects\llm_eval\test\mbpp_train\782\782_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675547-NVTaNKR2yp0bXUSgjj4Q
734,mbpp_train,0,504,806,0,D:\PythonProjects\llm_eval\test\mbpp_train\734\734_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675548-K8n9Ruu5qxNtVJJE4gbm
3664,aapp_competition_test,0,698,1961,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3664\3664_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675532-A0L0MPSrVi9IlXPul918
602,mbpp_train,0,497,992,0,D:\PythonProjects\llm_eval\test\mbpp_train\602\602_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675549-hDWnNWzaeKj0slp14i3d
3049,aapp_competition_test,0,703,1308,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3049\3049_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675555-jBTimOcvUaUZRnVgBdpH
3925,aapp_competition_test,0,593,1836,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3925\3925_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675532-eEP12qSNTVP4rqs3gXxN
3517,aapp_competition_test,0,575,2857,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3517\3517_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675532-oFtMiG1kmU5BxCEHdWIU
3037,aapp_competition_test,0,755,3050,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3037\3037_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675532-XltOfnFwXB6dCShhiyIU
3862,aapp_competition_test,0,598,2360,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3862\3862_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675532-7UlnPpwuefaBv3DtJ17p
3181,aapp_competition_test,0,489,314,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3181\3181_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675581-hXz9Y24jfiacuOGbodnC
18,human_eval_test,0,449,928,0,D:\PythonProjects\llm_eval\test\human_eval_test\18\18_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675588-NrmMVCmoix1Z3pEW1mlC
3406,aapp_competition_test,0,685,4514,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3406\3406_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675532-sKExOqmaxFcmRyQ24GPf
3188,aapp_competition_test,0,570,4534,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3188\3188_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675532-UMpe2u9keJy6IlAX1fBm
804,mbpp_train,0,368,94,0,D:\PythonProjects\llm_eval\test\mbpp_train\804\804_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675609-BfFrwu5yopQ3ZMbqJ9pW
399,mbpp_test,0,387,132,0,D:\PythonProjects\llm_eval\test\mbpp_test\399\399_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675610-bjPsjbi2foK5vEsWWQrb
90,human_eval_test,0,596,1550,0,D:\PythonProjects\llm_eval\test\human_eval_test\90\90_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675587-DuM0xpq7Vc8KD8XZJ22F
3944,aapp_competition_test,0,624,2576,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3944\3944_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675578-nXGB2H6x6sOnbjSZufGa
3863,aapp_competition_test,0,643,2635,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3863\3863_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675578-GiAvq7mKMquWNigXSeC9
3407,aapp_competition_test,0,626,2373,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3407\3407_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675584-4g3DxcBEToETpXFF4TQY
3663,aapp_competition_test,0,630,2231,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3663\3663_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675575-p2pY30x1ZBCWOcxZ3zTa
442,mbpp_test,0,474,1043,0,D:\PythonProjects\llm_eval\test\mbpp_test\442\442_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675605-sDw2rJ2vJGR9KIgcClYD
3756,aapp_competition_test,0,604,2647,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3756\3756_gen_0.sv,openrouter/polaris-alpha,stop,,gen-1762675576-0PjqyTmz87RZWHrq0I1g
