task_id,source,iteration,input_tokens,output_tokens,reasoning_tokens,verilog_file,model_name,finish_reason,system_fingerprint,run_id
85,human_eval_test,0,726,7348,6639,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\human_eval_test\85\85_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766372920-bJpGovAGNSiJ1NDrvKqY
151,human_eval_test,0,724,7301,6008,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\human_eval_test\151\151_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766372920-99fGzoDKY23l1ypKu3zu
3750,aapp_competition_test,0,768,14474,13920,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3750\3750_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766372920-4T3KwV9vyNrWhY8JrwSD
3213,aapp_competition_test,0,724,15844,15396,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3213\3213_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766372920-EFuVCjsyuDQgSiviGqjb
3208,aapp_competition_test,0,1105,15695,16618,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3208\3208_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766372920-zdgoqlisdAZOrGfnPr7U
3996,aapp_competition_test,0,1461,16311,16356,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3996\3996_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766372920-ZQwcwBztt2MvYMGzaJ2L
3104,aapp_competition_test,0,555,20122,19363,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3104\3104_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766372920-cVYJZAPRDcHig8O3W8kG
3099,aapp_competition_test,0,685,20655,19664,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3099\3099_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766372920-rKnk5DDpQbGQzwUe4qSR
3752,aapp_competition_test,0,857,20487,20214,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3752\3752_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766373051-XnP7JntIWm4AUrSkhrrU
3351,aapp_competition_test,0,975,11321,11221,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3351\3351_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766373227-cyjCGe7CDN1pCv972JnY
3350,aapp_competition_test,0,854,29908,25416,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3350\3350_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766372920-wRnmyV1iUAqa4zkdIAOc
3998,aapp_competition_test,0,666,26266,26350,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3998\3998_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766373055-9QdVmsAKto3Q2NF7wKK6
124,human_eval_test,0,751,21304,20099,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\human_eval_test\124\124_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766373211-L6yV9sRFkxuWvJ5xPIz4
59,human_eval_test,0,784,20099,18365,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\human_eval_test\59\59_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766373221-bsN2E5w8qUjmsRjH5GIf
138,human_eval_test,0,650,8797,9094,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\human_eval_test\138\138_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766373477-YhEdclVXw285HshX1Z5r
3108,aapp_competition_test,0,759,22358,20050,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3108\3108_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766373231-qe7dE30VdYTPw14lsJUd
3215,aapp_competition_test,0,678,24049,22003,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3215\3215_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766373239-dbuR7BpXO6aOLA8PDG9A
3347,aapp_competition_test,0,596,21088,20925,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3347\3347_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766373322-Ol7CamNaqtbLjvk3OPNR
3745,aapp_competition_test,0,944,20775,19771,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3745\3745_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766373343-TCFHrnJ8GNM4lBqJHEzq
73,human_eval_test,0,702,4262,3879,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\human_eval_test\73\73_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766373712-tfDvAmgcgeZeAPhmHHMu
3103,aapp_competition_test,0,1106,15297,15909,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3103\3103_gen_0.sv,allenai/olmo-3.1-32b-think:free,stop,,gen-1766373573-xJUTW7hXK0Rqh6DfZSa3
