Index,Folder,HDL_File,TB_File,Prompt_File,Compilation,Verification,Overall,Comp_Time,Verif_Time
1,602,602_gen_0.sv,602_testbench.py,602_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
2,603,603_gen_0.sv,603_testbench.py,603_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
3,604,604_gen_0.sv,604_testbench.py,604_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
4,605,605_gen_0.sv,605_testbench.py,605_prompt.txt,pass,fail,verification_failed,0.06,25.43
5,606,606_gen_0.sv,606_testbench.py,606_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
6,607,607_gen_0.sv,607_testbench.py,607_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
7,608,608_gen_0.sv,608_testbench.py,608_prompt.txt,pass,fail,verification_failed,0.06,16.05
8,610,610_gen_0.sv,610_testbench.py,610_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
9,611,611_gen_0.sv,611_testbench.py,611_prompt.txt,pass,fail,verification_failed,0.05,16.44
10,612,612_gen_0.sv,612_testbench.py,612_prompt.txt,fail,N/A,compilation_failed,0.04,0.00
11,614,614_gen_0.sv,614_testbench.py,614_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
12,615,615_gen_0.sv,615_testbench.py,615_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
13,616,616_gen_0.sv,616_testbench.py,616_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
14,617,617_gen_0.sv,617_testbench.py,617_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
15,618,618_gen_0.sv,618_testbench.py,618_prompt.txt,pass,fail,verification_failed,0.06,16.17
16,619,619_gen_0.sv,619_testbench.py,619_prompt.txt,fail,N/A,compilation_failed,0.04,0.00
17,620,620_gen_0.sv,620_testbench.py,620_prompt.txt,fail,N/A,compilation_failed,0.04,0.00
18,622,622_gen_0.sv,622_testbench.py,622_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
19,623,623_gen_0.sv,623_testbench.py,623_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
20,624,624_gen_0.sv,624_testbench.py,624_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
21,625,625_gen_0.sv,625_testbench.py,625_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
22,626,626_gen_0.sv,626_testbench.py,626_prompt.txt,pass,fail,verification_failed,0.05,16.44
23,627,627_gen_0.sv,627_testbench.py,627_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
24,628,628_gen_0.sv,628_testbench.py,628_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
25,629,629_gen_0.sv,629_testbench.py,629_prompt.txt,pass,fail,verification_failed,0.06,16.11
26,630,630_gen_0.sv,630_testbench.py,630_prompt.txt,pass,fail,verification_failed,0.06,16.53
27,631,631_gen_0.sv,631_testbench.py,631_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
28,632,632_gen_0.sv,632_testbench.py,632_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
29,633,633_gen_0.sv,633_testbench.py,633_prompt.txt,pass,fail,verification_failed,0.04,15.95
30,635,635_gen_0.sv,635_testbench.py,635_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
31,637,637_gen_0.sv,637_testbench.py,637_prompt.txt,pass,fail,verification_failed,0.05,16.57
32,638,638_gen_0.sv,638_testbench.py,638_prompt.txt,pass,fail,verification_failed,0.06,16.85
33,639,639_gen_0.sv,639_testbench.py,639_prompt.txt,pass,fail,verification_failed,0.06,16.24
34,640,640_gen_0.sv,640_testbench.py,640_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
35,641,641_gen_0.sv,641_testbench.py,641_prompt.txt,pass,fail,verification_failed,0.06,16.38
36,643,643_gen_0.sv,643_testbench.py,643_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
37,644,644_gen_0.sv,644_testbench.py,644_prompt.txt,fail,N/A,compilation_failed,0.04,0.00
38,720,720_gen_0.sv,720_testbench.py,720_prompt.txt,pass,fail,verification_failed,0.04,16.25
39,721,721_gen_0.sv,721_testbench.py,721_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
40,722,722_gen_0.sv,722_testbench.py,722_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
41,723,723_gen_0.sv,723_testbench.py,723_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
42,725,725_gen_0.sv,725_testbench.py,725_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
43,726,726_gen_0.sv,726_testbench.py,726_prompt.txt,pass,pass,pass,0.05,16.94
44,728,728_gen_0.sv,728_testbench.py,728_prompt.txt,pass,fail,verification_failed,0.06,16.24
45,730,730_gen_0.sv,730_testbench.py,730_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
46,731,731_gen_0.sv,731_testbench.py,731_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
47,732,732_gen_0.sv,732_testbench.py,732_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
48,733,733_gen_0.sv,733_testbench.py,733_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
49,734,734_gen_0.sv,734_testbench.py,734_prompt.txt,pass,fail,verification_failed,0.07,16.43
50,735,735_gen_0.sv,735_testbench.py,735_prompt.txt,pass,fail,verification_failed,0.06,16.32
51,736,736_gen_0.sv,736_testbench.py,736_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
52,737,737_gen_0.sv,737_testbench.py,737_prompt.txt,pass,fail,verification_failed,0.06,16.43
53,738,738_gen_0.sv,738_testbench.py,738_prompt.txt,pass,fail,verification_failed,0.07,16.51
54,739,739_gen_0.sv,739_testbench.py,739_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
55,740,740_gen_0.sv,740_testbench.py,740_prompt.txt,pass,fail,verification_failed,0.05,16.42
56,741,741_gen_0.sv,741_testbench.py,741_prompt.txt,pass,fail,verification_failed,0.06,16.80
57,742,742_gen_0.sv,742_testbench.py,742_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
58,743,743_gen_0.sv,743_testbench.py,743_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
59,744,744_gen_0.sv,744_testbench.py,744_prompt.txt,pass,pass,pass,0.05,16.26
60,745,745_gen_0.sv,745_testbench.py,745_prompt.txt,fail,N/A,compilation_failed,0.04,0.00
61,747,747_gen_0.sv,747_testbench.py,747_prompt.txt,pass,fail,verification_failed,0.05,16.56
62,748,748_gen_0.sv,748_testbench.py,748_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
63,749,749_gen_0.sv,749_testbench.py,749_prompt.txt,fail,N/A,compilation_failed,0.04,0.00
64,750,750_gen_0.sv,750_testbench.py,750_prompt.txt,pass,fail,verification_failed,0.04,16.81
65,751,751_gen_0.sv,751_testbench.py,751_prompt.txt,pass,fail,verification_failed,0.06,17.08
66,752,752_gen_0.sv,752_testbench.py,752_prompt.txt,fail,N/A,compilation_failed,0.07,0.00
67,753,753_gen_0.sv,753_testbench.py,753_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
68,754,754_gen_0.sv,754_testbench.py,754_prompt.txt,fail,N/A,compilation_failed,0.04,0.00
69,755,755_gen_0.sv,755_testbench.py,755_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
70,756,756_gen_0.sv,756_testbench.py,756_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
71,757,757_gen_0.sv,757_testbench.py,757_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
72,758,758_gen_0.sv,758_testbench.py,758_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
73,759,759_gen_0.sv,759_testbench.py,759_prompt.txt,fail,N/A,compilation_failed,0.04,0.00
74,760,760_gen_0.sv,760_testbench.py,760_prompt.txt,pass,fail,verification_failed,0.06,16.42
75,762,762_gen_0.sv,762_testbench.py,762_prompt.txt,pass,pass,pass,0.06,16.89
76,763,763_gen_0.sv,763_testbench.py,763_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
77,764,764_gen_0.sv,764_testbench.py,764_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
78,766,766_gen_0.sv,766_testbench.py,766_prompt.txt,pass,fail,verification_failed,0.05,16.82
79,767,767_gen_0.sv,767_testbench.py,767_prompt.txt,pass,fail,verification_failed,0.05,16.49
80,769,769_gen_0.sv,769_testbench.py,769_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
81,770,770_gen_0.sv,770_testbench.py,770_prompt.txt,pass,fail,verification_failed,0.05,16.46
82,771,771_gen_0.sv,771_testbench.py,771_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
83,772,772_gen_0.sv,772_testbench.py,772_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
84,773,773_gen_0.sv,773_testbench.py,773_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
85,775,775_gen_0.sv,775_testbench.py,775_prompt.txt,pass,fail,verification_failed,0.05,16.30
86,776,776_gen_0.sv,776_testbench.py,776_prompt.txt,fail,N/A,compilation_failed,0.04,0.00
87,777,777_gen_0.sv,777_testbench.py,777_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
88,778,778_gen_0.sv,778_testbench.py,778_prompt.txt,pass,fail,verification_failed,0.06,17.56
89,779,779_gen_0.sv,779_testbench.py,779_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
90,780,780_gen_0.sv,780_testbench.py,780_prompt.txt,pass,fail,verification_failed,0.04,16.53
91,781,781_gen_0.sv,781_testbench.py,781_prompt.txt,pass,fail,verification_failed,0.05,16.45
92,782,782_gen_0.sv,782_testbench.py,782_prompt.txt,pass,fail,verification_failed,0.06,16.56
93,783,783_gen_0.sv,783_testbench.py,783_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
94,784,784_gen_0.sv,784_testbench.py,784_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
95,785,785_gen_0.sv,785_testbench.py,785_prompt.txt,fail,N/A,compilation_failed,0.04,0.00
96,786,786_gen_0.sv,786_testbench.py,786_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
97,787,787_gen_0.sv,787_testbench.py,787_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
98,788,788_gen_0.sv,788_testbench.py,788_prompt.txt,pass,fail,verification_failed,0.06,16.23
99,790,790_gen_0.sv,790_testbench.py,790_prompt.txt,pass,fail,verification_failed,0.07,16.45
100,791,791_gen_0.sv,791_testbench.py,791_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
101,792,792_gen_0.sv,792_testbench.py,792_prompt.txt,pass,fail,verification_failed,0.05,16.45
102,793,793_gen_0.sv,793_testbench.py,793_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
103,796,796_gen_0.sv,796_testbench.py,796_prompt.txt,pass,fail,verification_failed,0.05,17.06
104,797,797_gen_0.sv,797_testbench.py,797_prompt.txt,fail,N/A,compilation_failed,0.07,0.00
105,798,798_gen_0.sv,798_testbench.py,798_prompt.txt,pass,fail,verification_failed,0.05,16.53
106,799,799_gen_0.sv,799_testbench.py,799_prompt.txt,pass,fail,verification_failed,0.06,16.77
107,800,800_gen_0.sv,800_testbench.py,800_prompt.txt,pass,fail,verification_failed,0.06,16.65
108,801,801_gen_0.sv,801_testbench.py,801_prompt.txt,pass,pass,pass,0.06,16.76
109,802,802_gen_0.sv,802_testbench.py,802_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
110,803,803_gen_0.sv,803_testbench.py,803_prompt.txt,pass,fail,verification_failed,0.06,16.61
111,804,804_gen_0.sv,804_testbench.py,804_prompt.txt,fail,N/A,compilation_failed,0.05,0.00
112,805,805_gen_0.sv,805_testbench.py,805_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
113,806,806_gen_0.sv,806_testbench.py,806_prompt.txt,pass,fail,verification_failed,0.05,16.77
114,807,807_gen_0.sv,807_testbench.py,807_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
115,808,808_gen_0.sv,808_testbench.py,808_prompt.txt,pass,fail,verification_failed,0.05,16.90
116,809,809_gen_0.sv,809_testbench.py,809_prompt.txt,fail,N/A,compilation_failed,0.06,0.00
