task_id,source,iteration,input_tokens,output_tokens,reasoning_tokens,verilog_file,model_name,finish_reason,system_fingerprint,run_id
743,mbpp_train,0,536,1068,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_train\743\743_gen_0.sv,mistralai/devstral-2512:free,stop,,gen-1766346853-CgcIqtjuDFeben6ntTQi
738,mbpp_train,0,781,484,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_train\738\738_gen_0.sv,mistralai/devstral-2512:free,stop,,gen-1766346853-8fflxhIn3gPYhNWYodkT
3306,aapp_competition_test,0,788,1216,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3306\3306_gen_0.sv,mistralai/devstral-2512:free,stop,,gen-1766346853-rQPpHkIpenSvVcdtFeAK
740,mbpp_train,0,701,437,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_train\740\740_gen_0.sv,mistralai/devstral-2512:free,stop,,gen-1766346861-dzKhS24xf829nievGW3p
3305,aapp_competition_test,0,873,1191,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3305\3305_gen_0.sv,mistralai/devstral-2512:free,stop,,gen-1766346853-nKbLtYYwzPJOLhaH3C11
3545,aapp_competition_test,0,2474,1302,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3545\3545_gen_0.sv,mistralai/devstral-2512:free,stop,,gen-1766346853-Zo4pIGC0Nnm4jbMKWJ2R
3304,aapp_competition_test,0,652,1541,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3304\3304_gen_0.sv,mistralai/devstral-2512:free,stop,,gen-1766346853-24r6vJFRAoqRF8ppSrwt
3544,aapp_competition_test,0,850,1444,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3544\3544_gen_0.sv,mistralai/devstral-2512:free,stop,,gen-1766346853-tD6kl4hJ8ZIWBGugMyFK
3652,aapp_competition_test,0,747,1252,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3652\3652_gen_0.sv,mistralai/devstral-2512:free,stop,,gen-1766346860-LR3vAYDurDUSQImX5bJ2
3649,aapp_competition_test,0,749,1684,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3649\3649_gen_0.sv,mistralai/devstral-2512:free,stop,,gen-1766346853-6fyVu29K9tIIP923M5i9
750,mbpp_train,0,476,149,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_train\750\750_gen_0.sv,mistralai/devstral-2512:free,stop,,gen-1766346875-6vZSz5mW2nnsdYTO6IH9
3546,aapp_competition_test,0,671,1787,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3546\3546_gen_0.sv,mistralai/devstral-2512:free,stop,,gen-1766346853-qFgYTZxJarVtwG3i6xHM
3645,aapp_competition_test,0,870,2311,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3645\3645_gen_0.sv,mistralai/devstral-2512:free,stop,,gen-1766346853-Q6XdmoARPWpYtvs24azT
745,mbpp_train,0,743,733,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_train\745\745_gen_0.sv,mistralai/devstral-2512:free,stop,,gen-1766346871-j46WDPbH0XVEHAuwyl66
