task_id,source,iteration,input_tokens,output_tokens,reasoning_tokens,verilog_file,model_name,finish_reason,system_fingerprint,run_id
414,mbpp_test,0,594,282,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_test\414\414_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301229-yZoGSTPV3bdemq3EArvO
581,mbpp_validation,0,531,392,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_validation\581\581_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301229-A3Y3ucM8V5YLUN9vBWLf
249,mbpp_test,0,682,464,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_test\249\249_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301232-txsSeoXd7R8dB8uDIEDa
420,mbpp_test,0,617,1154,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_test\420\420_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301229-zK8b8enz850fWmm1bxB3
583,mbpp_validation,0,647,1016,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_validation\583\583_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301229-8nXE0lUmfB8UyuuIpeog
237,mbpp_test,0,1313,1498,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_test\237\237_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301229-wTVz3biFjpi7XsQS3Vrw
580,mbpp_validation,0,656,1033,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_validation\580\580_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301234-XNM3ixOWzyI2TaRdJPK3
419,mbpp_test,0,664,914,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_test\419\419_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301239-KCUMSkaiaPiIbBzjPD5C
584,mbpp_validation,0,640,1215,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_validation\584\584_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301240-53i0SRP0JTHIuuoKWOkw
257,mbpp_test,0,428,80,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_test\257\257_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301251-RA0b5CcMBdQANy8G6fuh
422,mbpp_test,0,631,771,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_test\422\422_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301247-707C2GgWYDbTuM9QUGc5
578,mbpp_validation,0,789,1014,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_validation\578\578_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301253-2EGpCNu1iQpq9tk45CQl
3000,aapp_competition_test,0,1720,4316,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3000\3000_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301229-b3LWbPhw8PFlTRGGGdgM
253,mbpp_test,0,560,290,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_test\253\253_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301262-sEBwJ7uf7ynjf6Vesavd
418,mbpp_test,0,495,345,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_test\418\418_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301262-bocb8KBsbmtsOVWkKF48
586,mbpp_validation,0,569,663,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_validation\586\586_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301265-fub9EpBrsqyXUtFJ96C0
3018,aapp_competition_test,0,605,3678,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3018\3018_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301257-lLbfBIHBbFISNtzGynrp
415,mbpp_test,0,792,1540,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_test\415\415_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301267-tGVvSkyfM58XZPdh9VyM
588,mbpp_validation,0,432,195,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_validation\588\588_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301284-Y9cNykfjfXCsN2pRxHGB
248,mbpp_test,0,789,7429,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_test\248\248_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301229-JdgDDBdrVkJA1VLvpJdy
3017,aapp_competition_test,0,856,1598,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\aapp_competition_test\3017\3017_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301272-b0O2Vz4NZsS0wowRDaXI
256,mbpp_test,0,758,568,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_test\256\256_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301296-ccNv8uf4XWbj5sBh1E3l
251,mbpp_test,0,588,1603,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_test\251\251_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301284-83GcPELsGXLEt72hxhnL
587,mbpp_validation,0,578,624,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_validation\587\587_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301301-a7O29AvAW9d9PHpJlmV7
424,mbpp_test,0,716,570,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_test\424\424_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301306-ZdIfZ3KHAEa7p4TYs7Tw
261,mbpp_test,0,593,263,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_test\261\261_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301313-cC5xJ7PQL9mqrsSeY1mT
592,mbpp_validation,0,613,501,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\test\mbpp_validation\592\592_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1766301317-l1pZ8QCZNTfRoA7t78RA
