Index,Category,Problem,HDL_File,TB_File,Prompt_File,Compilation,Verification,Overall,Comp_Time,Verif_Time,Processed_At
1,aapp_competition_test,3000,3000_gen_0.sv,3000_testbench.py,3000_prompt.txt,fail,N/A,compilation_failed,0.08,0.00,2026-01-16T00:02:31.984508
2,aapp_competition_test,3002,3002_gen_0.sv,3002_testbench.py,3002_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-16T00:02:32.104237
3,aapp_competition_test,3003,3003_gen_0.sv,3003_testbench.py,3003_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-16T00:02:32.203299
4,aapp_competition_test,3004,3004_gen_0.sv,3004_testbench.py,3004_prompt.txt,pass,fail,verification_failed,0.07,29.18,2026-01-16T00:02:32.282554
5,aapp_competition_test,3005,3005_gen_0.sv,3005_testbench.py,3005_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-16T00:03:01.550835
6,aapp_competition_test,3006,3006_gen_0.sv,3006_testbench.py,3006_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-16T00:03:01.647533
7,aapp_competition_test,3008,3008_gen_0.sv,3008_testbench.py,3008_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-16T00:03:01.733758
8,aapp_competition_test,3009,3009_gen_0.sv,3009_testbench.py,3009_prompt.txt,fail,N/A,compilation_failed,0.05,0.00,2026-01-16T00:03:01.822039
9,aapp_competition_test,3010,3010_gen_0.sv,3010_testbench.py,3010_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-16T00:03:01.903423
10,aapp_competition_test,3011,3011_gen_0.sv,3011_testbench.py,3011_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-16T00:03:01.990935
11,aapp_competition_test,3012,3012_gen_0.sv,3012_testbench.py,3012_prompt.txt,fail,N/A,compilation_failed,0.05,0.00,2026-01-16T00:03:02.084004
12,aapp_competition_test,3013,3013_gen_0.sv,3013_testbench.py,3013_prompt.txt,fail,N/A,compilation_failed,0.07,0.00,2026-01-16T00:03:02.151910
13,aapp_competition_test,3014,3014_gen_0.sv,3014_testbench.py,3014_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-16T00:03:02.232120
14,aapp_competition_test,3015,3015_gen_0.sv,3015_testbench.py,3015_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-16T00:03:02.315319
15,aapp_competition_test,3016,3016_gen_0.sv,3016_testbench.py,3016_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-16T00:03:02.406077
16,aapp_competition_test,3017,3017_gen_0.sv,3017_testbench.py,3017_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-16T00:03:02.493681
17,aapp_competition_test,3018,3018_gen_0.sv,3018_testbench.py,3018_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-16T00:03:02.582009
18,aapp_competition_test,3019,3019_gen_0.sv,3019_testbench.py,3019_prompt.txt,fail,N/A,compilation_failed,0.07,0.00,2026-01-16T00:03:02.660584
19,aapp_competition_test,3021,3021_gen_0.sv,3021_testbench.py,3021_prompt.txt,fail,N/A,compilation_failed,0.05,0.00,2026-01-16T00:03:02.754738
20,aapp_competition_test,3022,3022_gen_0.sv,3022_testbench.py,3022_prompt.txt,fail,N/A,compilation_failed,0.05,0.00,2026-01-16T00:03:02.846258
