Index,Category,Problem,HDL_File,TB_File,Prompt_File,Compilation,Verification,Overall,Comp_Time,Verif_Time,Processed_At
1,aapp_competition_test,3000,3000_gen_0.sv,3000_testbench.py,3000_prompt.txt,pass,pass,pass,0.14,26.17,2026-01-21T16:13:29.427153
2,aapp_competition_test,3002,3002_gen_0.sv,3002_testbench.py,3002_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-21T16:13:55.753693
3,aapp_competition_test,3003,3003_gen_0.sv,3003_testbench.py,3003_prompt.txt,pass,fail,verification_failed,0.06,17.81,2026-01-21T16:13:55.831546
4,aapp_competition_test,3004,3004_gen_0.sv,3004_testbench.py,3004_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-21T16:14:13.713137
5,aapp_competition_test,3005,3005_gen_0.sv,3005_testbench.py,3005_prompt.txt,pass,pass,pass,0.07,17.65,2026-01-21T16:14:13.787004
6,aapp_competition_test,3006,3006_gen_0.sv,3006_testbench.py,3006_prompt.txt,pass,fail,verification_failed,0.08,17.71,2026-01-21T16:14:31.534178
7,aapp_competition_test,3008,3008_gen_0.sv,3008_testbench.py,3008_prompt.txt,pass,fail,verification_failed,0.06,17.29,2026-01-21T16:14:49.341438
8,aapp_competition_test,3009,3009_gen_0.sv,3009_testbench.py,3009_prompt.txt,pass,pass,pass,0.06,16.90,2026-01-21T16:15:06.706973
9,aapp_competition_test,3010,3010_gen_0.sv,3010_testbench.py,3010_prompt.txt,pass,fail,verification_failed,0.06,16.51,2026-01-21T16:15:23.701494
10,aapp_competition_test,3011,3011_gen_0.sv,3011_testbench.py,3011_prompt.txt,pass,pass,pass,0.06,17.36,2026-01-21T16:15:40.299953
11,aapp_competition_test,3012,3012_gen_0.sv,3012_testbench.py,3012_prompt.txt,pass,pass,pass,0.06,28.25,2026-01-21T16:15:57.764978
12,aapp_competition_test,3013,3013_gen_0.sv,3013_testbench.py,3013_prompt.txt,pass,pass,pass,0.07,17.45,2026-01-21T16:16:26.097610
13,aapp_competition_test,3014,3014_gen_0.sv,3014_testbench.py,3014_prompt.txt,pass,timeout,verification_failed,0.06,307.82,2026-01-21T16:16:43.640486
14,aapp_competition_test,3015,3015_gen_0.sv,3015_testbench.py,3015_prompt.txt,pass,pass,pass,0.11,18.29,2026-01-21T16:21:51.553257
15,aapp_competition_test,3016,3016_gen_0.sv,3016_testbench.py,3016_prompt.txt,pass,pass,pass,0.07,17.83,2026-01-21T16:22:10.041439
16,aapp_competition_test,3017,3017_gen_0.sv,3017_testbench.py,3017_prompt.txt,fail,N/A,compilation_failed,0.08,0.00,2026-01-21T16:22:27.968592
