Index,Category,Problem,HDL_File,TB_File,Prompt_File,Compilation,Verification,Overall,Comp_Time,Verif_Time,Processed_At
1,aapp_competition_test,3000,3000_gen_0.sv,3000_testbench.py,3000_prompt.txt,pass,fail,verification_failed,0.07,23.28,2026-01-21T23:40:18.071146
2,aapp_competition_test,3002,3002_gen_0.sv,3002_testbench.py,3002_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-21T23:40:41.469354
3,aapp_competition_test,3003,3003_gen_0.sv,3003_testbench.py,3003_prompt.txt,pass,fail,verification_failed,0.06,26.20,2026-01-21T23:40:41.564516
4,aapp_competition_test,3004,3004_gen_0.sv,3004_testbench.py,3004_prompt.txt,fail,N/A,compilation_failed,0.07,0.00,2026-01-21T23:41:07.839494
5,aapp_competition_test,3005,3005_gen_0.sv,3005_testbench.py,3005_prompt.txt,fail,N/A,compilation_failed,0.07,0.00,2026-01-21T23:41:07.952726
6,aapp_competition_test,3006,3006_gen_0.sv,3006_testbench.py,3006_prompt.txt,pass,fail,verification_failed,0.11,22.52,2026-01-21T23:41:08.047710
7,aapp_competition_test,3008,3008_gen_0.sv,3008_testbench.py,3008_prompt.txt,fail,N/A,compilation_failed,0.07,0.00,2026-01-21T23:41:30.687494
8,aapp_competition_test,3009,3009_gen_0.sv,3009_testbench.py,3009_prompt.txt,pass,fail,verification_failed,0.06,20.51,2026-01-21T23:41:30.792932
9,aapp_competition_test,3010,3010_gen_0.sv,3010_testbench.py,3010_prompt.txt,fail,N/A,compilation_failed,0.07,0.00,2026-01-21T23:41:51.379322
10,aapp_competition_test,3011,3011_gen_0.sv,3011_testbench.py,3011_prompt.txt,pass,fail,verification_failed,0.07,21.34,2026-01-21T23:41:51.464612
11,aapp_competition_test,3012,3012_gen_0.sv,3012_testbench.py,3012_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-21T23:42:12.892425
12,aapp_competition_test,3013,3013_gen_0.sv,3013_testbench.py,3013_prompt.txt,fail,N/A,compilation_failed,0.05,0.00,2026-01-21T23:42:12.971687
13,aapp_competition_test,3014,3014_gen_0.sv,3014_testbench.py,3014_prompt.txt,pass,fail,verification_failed,0.06,20.21,2026-01-21T23:42:13.043520
14,aapp_competition_test,3015,3015_gen_0.sv,3015_testbench.py,3015_prompt.txt,pass,fail,verification_failed,0.08,21.17,2026-01-21T23:42:33.336623
15,aapp_competition_test,3016,3016_gen_0.sv,3016_testbench.py,3016_prompt.txt,pass,fail,verification_failed,0.07,22.00,2026-01-21T23:42:54.607962
