Index,Category,Problem,HDL_File,TB_File,Prompt_File,Compilation,Verification,Overall,Comp_Time,Verif_Time,Processed_At
1,aapp_competition_test,3000,3000_gen_0.sv,3000_testbench.py,3000_prompt.txt,pass,fail,verification_failed,0.08,25.66,2026-01-25T04:25:03.435977
2,aapp_competition_test,3001,3001_gen_0.sv,3001_testbench.py,3001_prompt.txt,pass,timeout,verification_failed,0.06,305.28,2026-01-25T04:25:29.180393
3,aapp_competition_test,3004,3004_gen_0.sv,3004_testbench.py,3004_prompt.txt,pass,fail,verification_failed,0.14,18.60,2026-01-25T04:30:34.541656
4,aapp_competition_test,3005,3005_gen_0.sv,3005_testbench.py,3005_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-25T04:30:53.363839
5,aapp_competition_test,3007,3007_gen_0.sv,3007_testbench.py,3007_prompt.txt,pass,fail,verification_failed,0.07,17.19,2026-01-25T04:30:53.442776
6,aapp_competition_test,3008,3008_gen_0.sv,3008_testbench.py,3008_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-25T04:31:10.724343
7,aapp_competition_test,3009,3009_gen_0.sv,3009_testbench.py,3009_prompt.txt,pass,fail,verification_failed,0.06,18.37,2026-01-25T04:31:10.807292
8,aapp_competition_test,3010,3010_gen_0.sv,3010_testbench.py,3010_prompt.txt,pass,fail,verification_failed,0.08,17.67,2026-01-25T04:31:29.267041
9,aapp_competition_test,3011,3011_gen_0.sv,3011_testbench.py,3011_prompt.txt,fail,N/A,compilation_failed,0.07,0.00,2026-01-25T04:31:47.045318
10,aapp_competition_test,3013,3013_gen_0.sv,3013_testbench.py,3013_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-25T04:31:47.132579
11,aapp_competition_test,3015,3015_gen_0.sv,3015_testbench.py,3015_prompt.txt,pass,fail,verification_failed,0.06,17.14,2026-01-25T04:31:47.213277
12,aapp_competition_test,3016,3016_gen_0.sv,3016_testbench.py,3016_prompt.txt,pass,fail,verification_failed,0.06,17.38,2026-01-25T04:32:04.435170
13,aapp_competition_test,3017,3017_gen_0.sv,3017_testbench.py,3017_prompt.txt,pass,fail,verification_failed,0.06,17.02,2026-01-25T04:32:21.926553
14,aapp_competition_test,3018,3018_gen_0.sv,3018_testbench.py,3018_prompt.txt,fail,N/A,compilation_failed,0.07,0.00,2026-01-25T04:32:39.039295
15,aapp_competition_test,3019,3019_gen_0.sv,3019_testbench.py,3019_prompt.txt,pass,timeout,verification_failed,0.06,305.26,2026-01-25T04:32:39.126840
16,aapp_competition_test,3021,3021_gen_0.sv,3021_testbench.py,3021_prompt.txt,fail,N/A,compilation_failed,0.12,0.00,2026-01-25T04:37:44.465018
17,aapp_competition_test,3022,3022_gen_0.sv,3022_testbench.py,3022_prompt.txt,pass,pass,pass,0.06,27.99,2026-01-25T04:37:44.684067
18,aapp_competition_test,3023,3023_gen_0.sv,3023_testbench.py,3023_prompt.txt,fail,N/A,compilation_failed,0.05,0.00,2026-01-25T04:38:12.755904
19,aapp_competition_test,3024,3024_gen_0.sv,3024_testbench.py,3024_prompt.txt,fail,N/A,compilation_failed,0.05,0.00,2026-01-25T04:38:12.824746
20,aapp_competition_test,3025,3025_gen_0.sv,3025_testbench.py,3025_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-25T04:38:12.897805
