task_id,source,iteration,input_tokens,output_tokens,reasoning_tokens,verilog_file,model_name,finish_reason,system_fingerprint,run_id
736,mbpp_train,0,4290,888,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\mbpp_train\736\736_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162910-7FFeJyGlIB56FLD58g8K
757,mbpp_train,0,4211,1606,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\mbpp_train\757\757_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162910-TeBSM161XlsYjNudiv5G
3450,aapp_competition_test,0,4364,1163,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3450\3450_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162910-rn38xoc5RBls24eWmLJl
3168,aapp_competition_test,0,4277,1623,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3168\3168_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162910-ExhrzCTwu7hvWMvgBeoU
3171,aapp_competition_test,0,4616,2947,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3171\3171_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162910-HTsZm6btZjLtrFaPCPik
805,mbpp_train,0,4418,1285,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\mbpp_train\805\805_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162928-7hlGnYfqVzcFUXfdeHw0
3531,aapp_competition_test,0,4273,2546,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3531\3531_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162910-VbYuGlWOa79MPPprHh4F
3444,aapp_competition_test,0,4607,2335,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3444\3444_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162910-JjvW7k1Z31aXcbDuuDxa
3540,aapp_competition_test,0,4988,4096,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3540\3540_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162910-WATg7tBjYf4ztxaFO91a
3166,aapp_competition_test,0,4868,4038,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3166\3166_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162910-At4LTZTrzJE5DPI5v3Ja
3542,aapp_competition_test,0,4625,2865,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3542\3542_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162941-3hjdPirfhbffQSHIRDNK
638,mbpp_train,0,4391,2518,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\mbpp_train\638\638_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162944-CxxCLvjaswzqnCzO55IN
3172,aapp_competition_test,0,4751,3217,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3172\3172_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162945-46q0gHaLs0eIsLKCe4jF
612,mbpp_train,0,4642,1879,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\mbpp_train\612\612_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162960-5X0oJtGSoQEjTVsrIMUU
3544,aapp_competition_test,0,4338,1765,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3544\3544_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162975-Ui6UzsI9RiNxLxxRvnxp
3543,aapp_competition_test,0,4424,1657,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3543\3543_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162957-dxjZxrn58oQxG1TqZ8aU
3440,aapp_competition_test,0,6067,4411,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3440\3440_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162952-I2VQUuUnwtx0Ht0DjNSD
738,mbpp_train,0,4652,737,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\mbpp_train\738\738_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162987-8T2u0vs5lKfhcrLLMSLa
3451,aapp_competition_test,0,4371,2008,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3451\3451_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162995-gGe7St7MKlOWoeihIfNV
3177,aapp_competition_test,0,4033,4668,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3177\3177_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162992-MgiNQbWScCWgiwFi7584
782,mbpp_train,0,4620,909,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\mbpp_train\782\782_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769163013-8LZgAmldu8y7FjfuKOh4
3443,aapp_competition_test,0,4567,15840,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3443\3443_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162910-b7ckrz4kmSaupofzXScV
3537,aapp_competition_test,0,4388,2331,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3537\3537_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162997-IbplHZBA3SYBLGl5vSQ5
3457,aapp_competition_test,0,4464,2519,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3457\3457_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769163027-Z138YZNUW1YLfjeWHHrs
3545,aapp_competition_test,0,4640,2582,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3545\3545_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769163039-eW35svjufFZDcnwqrdi8
614,mbpp_train,0,4347,1140,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\mbpp_train\614\614_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769163041-HQMmOXuiAMtZUNlqJNlw
3176,aapp_competition_test,0,4634,2791,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3176\3176_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769163048-Y1aB6k6HmPn68UtG2gZd
3453,aapp_competition_test,0,4385,2009,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3453\3453_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769163053-QKnybqhjpCstiTn4tK4p
3449,aapp_competition_test,0,4150,7150,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3449\3449_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162930-wkuILXn8Pluata32Dgag
3169,aapp_competition_test,0,4443,15054,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3169\3169_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162928-Oabhjv9a4c5uGQfUootk
3548,aapp_competition_test,0,4645,2041,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3548\3548_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769163061-e48uV5aHQF5OfJmeAmRQ
737,mbpp_train,0,4351,1195,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\mbpp_train\737\737_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769163069-n2FpqbFYW1EXk1rvJEj2
3541,aapp_competition_test,0,4543,8923,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3541\3541_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162927-6lDHarBbypCa1BBAx4qi
637,mbpp_train,0,4080,70,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\mbpp_train\637\637_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769163081-llbV9wV3Ks4pTqPxs8MQ
3446,aapp_competition_test,0,4364,2326,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3446\3446_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769163076-J7MOC5WM2Y8dha2BlZ27
3165,aapp_competition_test,0,4472,12508,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3165\3165_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162965-227JoQoEqn3w974G6K5g
3170,aapp_competition_test,0,4493,2328,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3170\3170_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769163081-iaGsuxT1D1LoztLXXZm7
3174,aapp_competition_test,0,4561,9450,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3174\3174_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769163013-haw8tR44awkpfU4NFccq
3553,aapp_competition_test,0,4518,2311,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3553\3553_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769163086-W9w1sNpLmQoUrV6EfWxM
758,mbpp_train,0,4284,1909,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\mbpp_train\758\758_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769163090-sUWK4wNXgHQuz4Sy9Mbu
3555,aapp_competition_test,0,4809,2346,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3555\3555_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769163099-XN5KvJsKflbBpkYG5zcP
3551,aapp_competition_test,0,4225,4192,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3551\3551_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769163078-6db1k5WROYIVCM08f9Ph
3463,aapp_competition_test,0,4117,1851,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3463\3463_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769163107-mtaeCPGwwigUmQk5JRqW
591,mbpp_validation,0,4307,590,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\mbpp_validation\591\591_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769163118-uRv1QLzJ0wWWz62JYp8T
582,mbpp_validation,0,4287,1408,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\mbpp_validation\582\582_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769163104-MeUqbj3w9bPiv03XVJJ3
3447,aapp_competition_test,0,4481,11260,0,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3447\3447_gen_0.sv,xiaomi/mimo-v2-flash:free,stop,,gen-1769162971-bsH6McZ6OmvhHJjPejdQ
