Index,Category,Problem,HDL_File,TB_File,Prompt_File,Compilation,Verification,Overall,Comp_Time,Verif_Time,Processed_At
1,aapp_competition_test,3000,3000_gen_0.sv,3000_testbench.py,3000_prompt.txt,pass,fail,verification_failed,0.09,28.36,2026-01-23T03:44:59.841306
2,aapp_competition_test,3001,3001_gen_0.sv,3001_testbench.py,3001_prompt.txt,fail,N/A,compilation_failed,0.07,0.00,2026-01-23T03:45:28.324472
3,aapp_competition_test,3004,3004_gen_0.sv,3004_testbench.py,3004_prompt.txt,pass,fail,verification_failed,0.07,16.95,2026-01-23T03:45:28.422282
4,aapp_competition_test,3005,3005_gen_0.sv,3005_testbench.py,3005_prompt.txt,pass,pass,pass,0.06,17.92,2026-01-23T03:45:45.462466
5,aapp_competition_test,3007,3007_gen_0.sv,3007_testbench.py,3007_prompt.txt,pass,fail,verification_failed,0.06,17.07,2026-01-23T03:46:03.470085
6,aapp_competition_test,3008,3008_gen_0.sv,3008_testbench.py,3008_prompt.txt,pass,fail,verification_failed,0.07,16.77,2026-01-23T03:46:20.635750
7,aapp_competition_test,3009,3009_gen_0.sv,3009_testbench.py,3009_prompt.txt,pass,fail,verification_failed,0.06,16.78,2026-01-23T03:46:37.516481
8,aapp_competition_test,3010,3010_gen_0.sv,3010_testbench.py,3010_prompt.txt,pass,fail,verification_failed,0.07,17.32,2026-01-23T03:46:54.399943
9,aapp_competition_test,3011,3011_gen_0.sv,3011_testbench.py,3011_prompt.txt,pass,pass,pass,0.08,16.74,2026-01-23T03:47:11.820365
10,aapp_competition_test,3013,3013_gen_0.sv,3013_testbench.py,3013_prompt.txt,pass,pass,pass,0.06,35.11,2026-01-23T03:47:28.659678
11,aapp_competition_test,3015,3015_gen_0.sv,3015_testbench.py,3015_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-23T03:48:03.862332
12,aapp_competition_test,3016,3016_gen_0.sv,3016_testbench.py,3016_prompt.txt,fail,N/A,compilation_failed,0.07,0.00,2026-01-23T03:48:03.959352
13,aapp_competition_test,3017,3017_gen_0.sv,3017_testbench.py,3017_prompt.txt,fail,N/A,compilation_failed,0.07,0.00,2026-01-23T03:48:04.073664
14,aapp_competition_test,3018,3018_gen_0.sv,3018_testbench.py,3018_prompt.txt,fail,N/A,compilation_failed,0.07,0.00,2026-01-23T03:48:04.173172
15,aapp_competition_test,3019,3019_gen_0.sv,3019_testbench.py,3019_prompt.txt,pass,pass,pass,0.07,21.65,2026-01-23T03:48:04.256744
16,aapp_competition_test,3021,3021_gen_0.sv,3021_testbench.py,3021_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-23T03:48:25.997352
17,aapp_competition_test,3022,3022_gen_0.sv,3022_testbench.py,3022_prompt.txt,pass,pass,pass,0.06,16.53,2026-01-23T03:48:26.088069
18,aapp_competition_test,3023,3023_gen_0.sv,3023_testbench.py,3023_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-23T03:48:42.695542
19,aapp_competition_test,3024,3024_gen_0.sv,3024_testbench.py,3024_prompt.txt,pass,fail,verification_failed,0.06,16.58,2026-01-23T03:48:42.804846
20,aapp_competition_test,3025,3025_gen_0.sv,3025_testbench.py,3025_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-23T03:48:59.477092
21,aapp_competition_test,3026,3026_gen_0.sv,3026_testbench.py,3026_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-23T03:48:59.576941
22,aapp_competition_test,3027,3027_gen_0.sv,3027_testbench.py,3027_prompt.txt,pass,fail,verification_failed,0.06,16.61,2026-01-23T03:48:59.667855
23,aapp_competition_test,3028,3028_gen_0.sv,3028_testbench.py,3028_prompt.txt,fail,N/A,compilation_failed,0.07,0.00,2026-01-23T03:49:16.367847
24,aapp_competition_test,3029,3029_gen_0.sv,3029_testbench.py,3029_prompt.txt,fail,N/A,compilation_failed,0.07,0.00,2026-01-23T03:49:16.480576
25,aapp_competition_test,3030,3030_gen_0.sv,3030_testbench.py,3030_prompt.txt,pass,pass,pass,0.06,16.73,2026-01-23T03:49:16.586604
26,aapp_competition_test,3031,3031_gen_0.sv,3031_testbench.py,3031_prompt.txt,pass,fail,verification_failed,0.06,17.19,2026-01-23T03:49:33.414228
27,aapp_competition_test,3032,3032_gen_0.sv,3032_testbench.py,3032_prompt.txt,pass,fail,verification_failed,0.06,16.80,2026-01-23T03:49:50.693382
28,aapp_competition_test,3035,3035_gen_0.sv,3035_testbench.py,3035_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-23T03:50:07.595753
29,aapp_competition_test,3036,3036_gen_0.sv,3036_testbench.py,3036_prompt.txt,fail,N/A,compilation_failed,0.06,0.00,2026-01-23T03:50:07.678798
30,aapp_competition_test,3037,3037_gen_0.sv,3037_testbench.py,3037_prompt.txt,pass,fail,verification_failed,0.06,21.58,2026-01-23T03:50:07.771793
31,aapp_competition_test,3038,3038_gen_0.sv,3038_testbench.py,3038_prompt.txt,fail,N/A,compilation_failed,0.09,0.00,2026-01-23T03:50:29.438488
